SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523694,APCOTEX IND ,B ,Q,215.90,220.00,211.10,218.55,218.55,218.20,101,2371,515291.00,
523696,FORTIS MLR  ,X ,Q,52.75,52.85,52.75,52.85,52.80,52.60,6,650,34295.00,
523704,MASTEK LTD  ,B ,Q,461.75,466.30,457.80,465.00,461.65,456.60,198,2125,983795.00,
523708,EIMCO ELECON,B ,Q,371.00,371.00,367.00,367.00,367.00,376.75,6,53,19455.00,
523710,SAYAJI HOTEL,XT,Q,251.65,269.50,251.65,260.60,263.00,264.85,14,13694,3452829.00,
523716,ASHIANA HOU ,B ,Q,114.60,118.65,113.00,115.25,115.25,116.55,89,3122,362325.00,
523732,ECO BOARD IN,XT,Q,2.05,2.05,2.05,2.05,2.05,2.05,2,5000,10250.00,
523736,DVL         ,B ,Q,86.20,86.40,86.20,86.25,86.25,88.50,19,959,82826.00,
523754,MAHEPC      ,X ,Q,105.75,111.30,105.75,106.55,106.30,108.95,124,7902,846933.00,
523756,SREIINFRA   ,A ,Q,18.10,18.10,17.10,17.35,17.35,17.30,83,22415,390081.00,
523768,GUJ.BOROSIL ,X ,Q,76.00,77.45,73.70,73.80,73.70,76.65,210,28336,2113760.00,
523782,MITSHI      ,X ,Q,37.30,37.90,33.20,37.30,37.00,36.25,27,11926,434161.00,
523792,MAZDA LTD   ,B ,Q,410.00,415.00,403.45,410.65,411.00,403.30,7,16,6563.00,
523796,VICEROY HOTE,T ,Q,1.65,1.65,1.58,1.58,1.58,1.65,7,2840,4510.00,
523828,MENON BEAR. ,B ,Q,71.00,74.00,70.25,74.00,74.00,70.75,42,1944,141070.00,
523836,GUJ.RAFFIA  ,T ,Q,12.40,13.65,12.35,13.25,13.65,13.00,12,3200,42405.00,
